ID	type	pack_total_weight	pack_total_volume	first_receive_tm	last_receive_tm
0	1	-	-	08:00	00:00
10001	2	0.0056	0.0099	09:30	10:00
10002	2	0.2076	0.3666	09:30	11:30
10003	2	0.00473	0.032	09:00	11:00
10004	2	0.05863	0.1687	08:00	09:30
10005	2	0.03645	0.0745	10:00	11:00
10006	2	0.02595	0.0542	08:30	09:30
10007	2	0.0198	0.1117	10:00	11:00
10008	2	0.02653	0.0409	08:00	09:30
10009	2	0.06097	0.1057	09:00	10:30
10010	2	0.01075	0.0455	10:30	11:30
10011	2	0.221895	0.3375	11:30	12:00
10012	2	0.025	0.2034	09:30	11:30
10013	2	0.0057	0.0248	10:00	11:30
10014	2	0.051942	0.1037	09:00	10:00
10015	2	0.00624	0.0158	10:30	11:00
10016	2	0.04723	0.0964	09:00	10:30
10017	2	0.0051	0.0275	08:30	09:00
10018	2	0.692255	1.1219	08:00	08:30
10019	2	0.0054	0.0093	09:30	11:00
10020	2	0.003752	0.0397	08:00	09:00
10021	2	0.01055	0.026	09:00	11:00
10022	2	0.0505	0.1151	09:30	11:00
10023	2	0.348	3.4027	08:00	09:00
10024	2	0.4524	4.4235	10:00	10:30
10025	2	0.518445	1.4488	09:00	10:30
10026	2	0.0208	0.1346	10:00	10:30
10027	2	0.0061	0.0146	08:00	09:30
10028	2	0.003525	0.0204	11:00	12:00
10029	2	0.0886	0.1477	09:00	11:00
10030	2	0.00211	0.0089	10:30	12:00
10031	2	0.02865	0.0513	08:00	08:30
10032	2	0.0105	0.0386	10:30	12:00
10033	2	0.0856	0.1566	10:30	11:00
10034	2	0.03304	0.1331	10:00	12:00
10035	2	0.02366	0.3351	08:00	09:00
10036	2	0.00502	0.0309	09:00	09:30
10037	2	0.005364	0.0062	09:30	11:00
10038	2	0.0028	0.0202	08:00	08:30
10039	2	0.08944	0.1272	10:00	11:30
10040	2	0.0045	0.0108	09:30	10:00
10041	2	0.00582	0.0739	10:00	12:00
10042	2	0.015	0.3662	09:00	10:00
10043	2	0.00455	0.0614	08:30	10:30
10044	2	0.03798	0.051	08:00	09:30
10045	2	0.02212	0.798	11:00	11:30
10046	2	0.0057	0.0108	09:00	11:00
10047	2	0.24	0.4176	10:00	11:00
10048	2	0.013	0.0368	10:00	12:00
10049	2	0.3153	0.6039	11:00	12:00
10050	2	0.1716	0.4511	10:00	10:30
10051	2	0.04826	0.1466	10:00	11:30
10052	2	0.0013	0.0032	09:00	09:30
10053	2	0.0015	0.0038	09:00	11:00
10054	2	0.01467	0.1156	10:30	11:30
10055	2	0.0124	0.159	08:00	10:00
10056	2	0.0027	0.0917	10:00	11:00
10057	2	0.01817	0.0293	10:00	12:00
10058	2	0.06247	0.121	08:00	09:00
10059	2	0.0202	0.0515	08:00	10:00
10060	2	0.0024	0.048	11:00	12:00
10061	2	0.0106	0.0244	10:00	10:30
10062	2	0.06498	0.4311	08:00	09:00
10063	2	0.00168	0.0162	11:00	11:30
10064	2	0.00504	0.2481	08:00	09:00
10065	2	0.0135	0.0942	08:00	08:30
10066	2	0.0129	0.0973	08:30	10:30
10067	2	0.0129	0.0973	10:30	11:00
10068	2	0.012	0.0837	08:30	10:00
10069	2	0.02331	0.0956	10:00	11:00
10070	2	0.36857	0.5909	09:00	09:30
10071	2	0.0294	0.1717	09:00	10:30
10072	2	0.657512	1.0689	10:00	10:30
10073	2	0.01697	0.026	10:30	12:00
10074	2	0.05025	0.262	10:00	11:00
10075	2	0.04702	0.3459	09:00	10:30
