ID	type	pack_total_weight	pack_total_volume	first_receive_tm	last_receive_tm
0	1	-	-	08:00	00:00
20001	2	0.35788	0.622	09:30	10:00
20002	2	0.09716	0.1458	08:00	10:00
20003	2	0.16014	0.325	10:00	10:30
20004	2	0.3476	0.5824	09:30	10:00
20005	2	0.68136	1.2965	09:30	11:00
20006	2	0.27776	0.559	08:00	09:30
20007	2	0.28504	0.4725	08:00	10:00
20008	2	0.6298	0.8719	09:00	09:30
20009	2	2.0559	3.4995	10:30	11:00
20010	2	0.04528	0.1397	11:00	12:00
20011	2	0.28524	0.4759	10:30	11:30
20012	2	0.18548	0.3345	10:00	11:30
20013	2	0.34546	0.8647	09:30	11:30
20014	2	0.07362	0.1287	10:00	12:00
20015	2	1.10738	1.6627	08:30	10:30
20016	2	0.4338	0.6572	09:00	09:30
20017	2	0.3399	0.6005	09:30	10:00
20018	2	0.88504	1.8727	10:00	11:00
20019	2	0.56494	1.0827	09:30	10:30
20020	2	0.2752	0.6205	10:30	11:30
20021	2	0.68818	1.1576	08:00	09:00
20022	2	1.10568	1.7682	09:00	10:30
20023	2	0.02278	0.0552	08:00	09:30
20024	2	0.20888	0.2998	08:00	09:30
20025	2	0.36834	0.9816	09:00	10:30
20026	2	0.41124	0.8619	08:30	10:00
20027	2	1.04882	1.8214	08:00	10:00
20028	2	0.3646	0.5397	10:00	12:00
20029	2	0.14896	0.2467	09:00	11:00
20030	2	0.28856	0.4615	10:00	12:00
20031	2	0.03532	0.0699	08:00	09:30
20032	2	0.55786	0.9193	10:00	12:00
20033	2	0.09136	0.131	09:30	11:00
20034	2	0.22358	0.4922	10:00	12:00
20035	2	0.22988	0.3682	09:30	11:00
20036	2	0.26023	0.4573	10:00	12:00
20037	2	0.21745	0.3755	09:30	11:30
20038	2	0.09864	0.1752	08:00	09:00
20039	2	0.00632	0.0079	09:00	11:00
20040	2	0.19235	0.327	08:00	09:30
20041	2	0.304	0.5679	09:30	11:30
20042	2	0.75182	1.2771	10:00	12:00
20043	2	0.18451	0.3283	09:00	11:00
20044	2	0.20214	0.5161	08:30	10:30
20045	2	0.13264	0.2572	10:00	12:00
20046	2	0.03846	0.071	09:00	09:30
20047	2	0.21824	0.3873	10:00	12:00
20048	2	0.33378	0.5685	11:00	11:30
20049	2	0.02936	0.1661	08:30	10:30
20050	2	0.7267	1.2479	11:30	12:00
20051	2	0.13004	0.2375	11:00	11:30
20052	2	0.18371	0.3267	08:00	09:30
20053	2	0.166915	0.2792	11:30	12:00
20054	2	0.2558	0.397	11:00	11:30
20055	2	0.0412	0.4014	08:30	09:00
20056	2	0.20346	0.3806	08:00	10:00
20057	2	0.76656	1.681	08:00	08:30
20058	2	0.58004	0.8199	09:00	11:00
20059	2	0.16622	0.3001	10:00	12:00
20060	2	0.2283	2.1049	09:00	11:00
20061	2	0.12846	0.2657	10:00	12:00
20062	2	0.01392	0.0428	09:00	11:00
20063	2	0.1111	0.2484	09:00	10:30
20064	2	0.00462	0.0397	08:00	09:30
20065	2	0.333036	0.4198	09:30	11:00
20066	2	0.04836	0.0828	10:30	12:00
20067	2	0.04872	0.2049	09:00	10:30
20068	2	0.006084	0.0099	08:00	09:00
20069	2	0.19048	0.3598	09:00	10:30
20070	2	0.01	0.2485	10:00	11:30
20071	2	0.0012	0.0035	11:00	12:00
20072	2	0.21778	0.3967	10:30	11:30
20073	2	0.007	0.1027	11:00	12:00
20074	2	1.32352	2.1644	10:00	11:00
20075	2	0.16918	0.296	11:00	12:00
20076	2	0.10068	0.2081	10:00	11:00
20077	2	0.75738	1.2245	11:00	12:00
20078	2	0.2865	2.3641	10:00	11:00
20079	2	0.70544	1.1029	10:30	11:00
20080	2	0.1785	0.2813	09:00	09:30
20081	2	0.23318	0.4273	10:00	10:30
20082	2	0.2865	2.3641	10:00	10:30
20083	2	0.19728	1.6147	11:30	12:00
20084	2	0.0146	0.0248	09:00	09:30
20085	2	0.025	0.2125	09:30	10:00
20086	2	0.0111	0.0915	09:00	09:30
20087	2	0.0256	0.0476	08:30	10:30
20088	2	0.14	1.18	09:00	11:00
20089	2	0.0338	0.2891	08:00	10:00
20090	2	0.195	0.2971	08:30	10:30
20091	2	0.54875	0.6172	08:00	10:00
20092	2	0.202625	0.3466	09:00	11:00
20093	2	0.2347	0.3615	08:00	10:00
20094	2	0.78418	1.3546	09:00	11:00
20095	2	1.47234	2.1739	10:30	12:00
20096	2	0.38658	0.9491	09:30	11:00
20097	2	0.65512	1.3405	10:00	11:30
20098	2	1.06782	1.815	10:30	12:00
20099	2	0.68836	1.2248	09:00	10:30
20100	2	0.57234	1.0029	08:00	09:30
20101	2	2.1065	3.6022	09:00	10:30
20102	2	1.14716	1.8912	08:00	09:30
20103	2	0.54768	0.8837	09:30	10:30
20104	2	0.0453	0.0835	10:00	11:00
20105	2	0.06464	0.1424	11:00	12:00
20106	2	1.26118	3.0455	10:00	11:00
20107	2	0.5767	1.0928	11:30	12:00
20108	2	0.6491	1.051	10:00	10:30
20109	2	0.20254	0.3968	10:00	10:30
20110	2	0.6503	1.4123	10:30	11:00
20111	2	0.18078	0.4447	10:00	12:00
20112	2	0.03996	0.0837	09:00	11:00
20113	2	2.03792	3.1533	11:00	12:00
20114	2	0.3067	0.5392	11:00	11:30
20115	2	0.15824	0.2899	11:00	11:30
20116	2	0.89194	1.3319	08:00	10:00
20117	2	0.43696	0.6994	10:30	11:00
20118	2	0.78976	1.4728	11:00	11:30
20119	2	0.29816	0.5931	08:00	09:00
20120	2	0.21432	0.4836	08:30	10:30
20121	2	0.0253	0.052	09:00	11:00
20122	2	0.1304	0.2004	11:00	11:30
20123	2	0.195	0.2971	08:00	08:30
20124	2	0.1613	0.2846	10:00	10:30
20125	2	0.412064	0.6996	10:00	12:00
20126	2	0.195	0.2971	08:30	10:30
20127	2	0.147365	0.281	10:00	11:30
20128	2	0.00377	0.0248	10:00	11:30
20129	2	0.0086	0.0127	11:00	12:00
20130	2	0.05	0.4251	10:30	11:30
20131	2	1	1.3794	08:00	09:00
20132	2	1	1.3794	09:30	10:00
20133	2	0.253	2.2057	08:00	09:00
20134	2	0.134325	0.2374	11:00	11:30
20135	2	0.1012	0.2079	08:00	08:30
20136	2	0.09648	0.3089	08:30	10:30
20137	2	0.169	1.4453	08:00	10:00
20138	2	0.79522	1.3958	10:00	12:00
20139	2	0.0012	0.0146	08:00	09:30
20140	2	0.008	0.0826	10:00	11:30
20141	2	0.0052	0.077	08:00	09:30
20142	2	0.0012	0.0146	08:00	09:30
20143	2	1.506	1.8954	09:30	10:30
20144	2	0.069948	0.1332	09:30	10:30
20145	2	0.0962	0.1748	10:00	10:30
20146	2	0.02158	0.12	08:00	09:00
20147	2	0.01628	0.12	08:00	10:00
20148	2	0.04501	0.25	10:00	12:00
20149	2	0.00892	0.07	08:00	10:00
20150	2	0.04507	0.3	09:00	10:30
20151	2	0.00513	0.07	10:00	11:30
20152	2	0.04213	0.4	10:30	12:00
20153	2	0.07445	0.55	10:00	11:00
20154	2	0.07119	0.45	08:00	09:00
20155	2	0.0607	0.55	11:00	11:30
20156	2	0.06455	0.35	10:00	11:00
20157	2	0.2009	1.05	11:00	11:30
20158	2	0.0086	0.0127	09:00	09:30
20159	2	0.267088	0.6214	10:00	12:00
20160	2	0.163165	0.2514	08:00	09:30
20161	2	0.03808	0.3917	09:00	10:30
20162	2	0.08946	0.0905	09:00	10:30
20163	2	0.0357	0.2904	09:00	10:30
20164	2	0.10366	0.2642	11:00	12:00
20165	2	0.2272	1.7844	11:00	12:00
20166	2	0.55498	0.8867	08:00	09:00
20167	2	0.0497	0.0955	09:30	10:00
20168	2	0.07844	0.5458	09:00	10:00
20169	2	0.13949	0.2248	10:00	10:30
20170	2	0.3695	1.7515	11:00	11:30
20171	2	0.208	1.0893	08:00	09:00
20172	2	0.172506	0.318	09:30	11:30
20173	2	0.253966	0.4287	08:00	09:30
20174	2	0.17043	0.3027	08:00	09:00
20175	2	0.256	0.4477	08:30	10:00
20176	2	0.003	0.2	11:00	12:00
20177	2	0.02	0.2	10:00	11:00
20178	2	0.009	0.2	08:30	09:30
20179	2	0.003	0.2	10:30	11:00
20180	2	0.003	0.2	11:00	11:30
20181	2	0.011	0.2	10:30	11:00
20182	2	0.003	0.2	11:00	11:30
20183	2	0.006	0.2	08:00	09:30
20184	2	0.006	0.2	10:00	12:00
20185	2	0.014	0.2	09:30	11:00
20186	2	0.011	0.2	09:00	10:30
20187	2	0.021	0.2	10:00	11:30
20188	2	0.028	0.2	09:30	10:30
20189	2	0.059	0.2	10:00	11:00
20190	2	0.017	0.2	09:00	10:00
20191	2	0.25033	0.3776	11:00	11:30
20192	2	0.10095	1.2773	11:30	12:00
20193	2	0.1804	0.2858	08:00	10:00
20194	2	0.18408	0.3315	10:00	12:00
20195	2	0.162034	0.4891	08:30	10:00
20196	2	0.238068	0.4124	08:00	09:30
20197	2	0.268045	0.4863	10:00	11:30
20198	2	0.17363	0.3469	08:00	09:30
20199	2	0.24416	0.4137	09:00	10:00
20200	2	0.258605	0.5416	10:00	11:00
20201	2	0.00651	0.0079	10:00	11:00
20202	2	0.225993	0.3837	10:30	11:00
