482004.850000
trans_code vehicle_type dis_seq distribute_lea_tm distribute_arr_tm distance trans_cost charge_cost wait_cost fixed_use_cost total_cost charge_cnt
DP0001 1 10000;10018;10017;10055;11018;10010;10958;11306;11362;11540;11363;10000 8:0 17:7 161921 1943.05 50 18.40 200 2211.45 1
DP0002 2 10000;10031;10662;10089;10425;10039;10048;11313;11320;11304;11334;11483;11553;10000 8:0 17:36 143867 2014.14 50 0.00 300 2364.14 1
DP0003 1 10000;10038;10004;10126;11033;10002;11303;11339;11437;11562;11450;10000 8:0 16:57 171487 2057.84 50 10.00 200 2317.84 1
DP0004 1 10000;10065;11173;10092;10095;10570;10487;10566;11314;11489;11309;11329;11584;10000 8:0 17:21 143224 1718.69 50 14.00 200 1982.69 1
DP0005 1 10000;10097;10083;10068;10208;10434;10838;11318;11311;11358;11465;11335;11504;10000 8:0 17:43 121251 1455.01 50 19.60 200 1724.61 1
DP0006 1 10000;10246;10734;10909;11249;11561;10000 8:0 13:6 119755 1437.06 50 0.00 200 1687.06 1
DP0007 1 10000;10185;10044;10130;10745;10674;10854;11324;11338;11330;11421;11498;11569;10000 8:0 17:28 123381 1480.57 50 8.40 200 1738.97 1
DP0008 1 10000;10205;10008;10026;10013;10171;11326;11323;11351;11517;11435;10000 8:0 16:26 135458 1625.50 50 0.00 200 1875.50 1
DP0009 2 10000;10219;10104;10704;10007;10532;11328;11359;11368;11347;11563;10000 8:0 17:14 147909 2070.73 50 20.80 300 2441.53 1
DP0010 1 10000;10339;10530;11006;10735;11012;10000 8:0 12:22 81482 977.78 0 0.80 200 1178.58 0
DP0011 2 10000;10260;10144;10394;10015;11052;11342;11497;11319;11475;11557;10000 8:0 16:57 147023 2058.32 50 21.20 300 2429.52 1
DP0012 2 10000;10262;10150;10573;10047;10721;11241;11346;11356;11379;11562;11484;10000 8:0 17:31 194066 2716.92 50 0.00 300 3066.92 1
DP0013 1 10000;10294;10718;10079;10365;10100;11384;11312;11548;11332;11412;10000 8:0 17:3 145535 1746.42 50 10.80 200 2007.22 1
DP0014 2 10000;10333;10477;10204;10985;10725;10819;11370;11349;11417;11599;11461;10000 8:0 17:13 188879 2644.31 50 0.00 300 2994.31 1
DP0015 2 10000;10363;10997;10001;10296;10743;11077;11369;11376;11302;11458;11543;10000 8:0 17:19 151604 2122.46 50 6.40 300 2478.86 1
DP0016 2 10000;10430;10488;10059;11268;11190;10694;11381;11439;11438;11401;11357;11553;10000 8:0 17:40 142655 1997.17 50 8.40 300 2355.57 1
DP0017 2 10000;10439;10098;10108;10152;10110;11400;11327;11307;11543;10000 8:0 16:56 142154 1990.16 50 0.00 300 2340.16 1
DP0018 1 10000;10471;10418;10146;10021;10229;10252;11411;11396;11508;11407;10000 8:0 16:23 163699 1964.39 50 0.00 200 2214.39 1
DP0019 1 10000;10473;10993;10317;11032;10501;11057;11277;11415;11424;11352;11340;11398;10000 8:0 16:38 99127 1189.52 0 6.80 200 1396.32 0
DP0020 1 10000;10498;10165;11196;10337;11257;10180;11426;11404;11378;11457;11442;11556;10000 8:0 17:18 96438 1157.26 50 14.80 200 1422.06 1
DP0021 1 10000;10617;10140;10884;10846;10051;10000 8:0 12:29 63679 764.15 0 8.80 200 972.95 0
DP0022 2 10000;10631;10717;10279;11129;10359;10507;11390;11449;11392;11474;11453;10000 8:0 16:32 69063 966.88 0 18.80 300 1285.68 0
DP0023 1 10000;10578;10282;10369;10657;11512;10000 8:0 13:21 143830 1725.96 50 0.00 200 1975.96 1
DP0024 1 10000;10723;10288;10364;10072;10719;10028;11455;11399;11418;11510;11491;10000 8:0 17:16 148314 1779.77 50 0.40 200 2030.17 1
DP0025 2 10000;10781;10006;10077;11119;10964;10603;11456;11478;11308;11556;10000 8:0 15:57 134521 1883.29 50 0.00 300 2233.29 1
DP0026 1 10000;10791;10133;11296;10688;10012;10823;11395;11355;11521;11348;10000 8:0 16:20 147930 1775.16 50 8.80 200 2033.96 1
DP0027 2 10000;10811;11297;10080;10867;10344;11300;11471;11344;11487;11420;11341;11515;10000 8:0 17:41 138503 1939.04 50 8.40 300 2297.44 1
DP0028 2 10000;10637;10915;11072;10957;10112;11579;11337;11305;10000 8:0 15:30 194082 2717.15 50 7.20 300 3074.35 1
DP0029 1 10000;10868;10687;10114;10019;10882;11386;11557;11316;10000 8:0 15:16 144209 1730.51 50 2.40 200 1982.91 1
DP0030 1 10000;10886;10291;10298;11000;10384;10323;11383;11385;11364;11578;10000 8:0 16:24 133331 1599.97 50 12.80 200 1862.77 1
